x,y,z
349.3266884831883,477.00654075109367,a
327.5809837621778,458.9538180776535,a
331.63750005011707,440.2245713006299,a
310.917899095647,444.5823246882206,a
306.85772751201483,449.77046043617463,a
277.42422859102885,435.26855531284923,a
269.47468484627785,450.6333490509082,a
290.7784489518797,424.4460047140069,a
237.2142020905962,462.1881719670168,a
253.1739626534425,437.83532123459077,a
221.80473502250553,432.72317471081726,a
188.21875140891393,395.30013586779626,a
214.6842129987371,433.2561984956562,a
223.83595628277553,414.0303186733613,a
170.70226606062533,374.6808236475505,a
154.02551016227306,368.9091858969946,a
210.36692575256282,390.1270249356881,a
212.06532960154053,396.5603257157899,a
131.04900343580454,343.3997662879656,a
166.2786285079366,346.4426384537544,a
161.7582105716401,352.6578998921154,a
168.0504279024786,391.9571693174357,a
147.3306361582296,379.09433478781636,a
164.1875001374817,350.4954300432218,a
144.95166918278255,282.60713655222827,a
119.79239721183389,279.97753841173596,a
71.48258418233942,298.23717073049727,a
113.18101849630278,252.22650951378805,a
88.16866300126141,275.28373807511366,a
133.68269060612812,249.52169057738632,a
101.34634774709244,228.42414916468823,a
126.03868847798226,247.1578990557538,a
100.51441959629324,199.36963781674552,a
129.12957346002767,197.89950195943965,a
71.4352048305342,196.40647539525742,a
176.62779918952657,182.74653598103134,a
168.0868699411166,192.4156871500643,a
191.9013992098366,128.6762789807188,a
118.39590588571409,164.62935759998942,a
150.10176768774863,126.78696990514038,a
155.73978831208942,142.25027938944504,a
173.82100255806233,145.25660527015668,a
189.9484117473958,129.7965819676985,a
199.3763691027342,111.10222615073741,a
201.8937119767355,145.5824825303245,a
213.22755063660455,164.6152077997666,a
267.03534235403026,105.42977276536152,a
274.6489328380786,85.31856087387354,a
265.63804823252656,100.02414302614255,a
257.04425644434934,117.93496272237326,a
302.4922418430971,130.18882435994004,a
271.4114109923661,162.4824230267618,a
320.87918516941164,125.7814093691282,a
323.7980596964457,96.67408206358368,a
363.2529468266034,101.88467157875539,a
393.1841709524556,106.44686134042718,a
374.7469127260592,80.09025644349629,a
390.43944583555617,66.10136599876722,a
423.83681822653773,44.522316720262836,a
407.56319865530827,70.77101862087926,a
424.38892822365847,61.92453548273704,a
430.76593992063357,61.75057212615991,a
403.6536950376107,29.682177471215425,a
478.4788069946465,96.3901300861965,a
447.55795637934216,88.228743153435,a
482.60663513243765,73.14515528433253,a
548.0889134308069,84.25047876848237,a
509.82813534501264,63.940886957817725,a
515.1766395881272,24.494712425906812,a
548.7424036487836,43.796093017480246,a
554.2358408761246,140.50684293557947,a
564.7674035723475,129.11892449839144,a
582.6041491544036,32.75626470358003,a
562.3872172351467,87.95947797436281,a
598.3271035480548,140.0674563464391,a
618.216081385038,158.1641317437112,a
581.0449731573722,164.17054084218205,a
595.7228685140674,160.68583950596445,a
629.0046069030244,200.79924067063592,a
572.0885780822056,226.51850610697005,a
620.8250500656679,273.42129566813344,a
551.8752906281545,250.55962946873365,a
602.570102524209,241.70490741110297,a
628.4321275507663,304.4451636986755,a
539.8020580121638,280.9141338567966,a
527.2399465156253,329.94376237594855,a
583.6338448599746,295.83754180749656,a
538.5084492422916,319.7842071121239,a
559.938471792679,389.7548511199886,a
567.808617908307,312.6833848048583,a
560.9556278179639,358.33641344443106,a
533.6880845574301,339.0683018173621,a
561.362175521533,357.97438671135546,a
477.7398610764272,381.69332175403474,a
501.63904171153916,420.9041070269775,a
503.5268015373741,443.12833583867456,a
455.70399266911403,412.35385409364164,a
472.27521709016077,431.7348929310763,a
